48 114
	$program	$expr	$expr_and_or	$expr_cmp	$expr_add_sub	$expr_mul_div	$expr_unar	$function	$list_arg	$call_function_arg	$list_function	$block	$line	$cmd	$	and	or	==	!=	>	>=	<	<=	+	-	*	/	%	variable	number	(	)	not	=	function	,	{	}	;	if	else	while	do	for	return	break	continue	print	
66	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s92	.	.	.	.	.	.	.	.	.	
67	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s93	.	.	.	.	.	.	.	.	.	.	
68	.	s15	s16	s17	s18	s19	s20	.	.	.	.	s94	.	s68	r36	r36	r36	r36	r36	r36	r36	r36	r36	s25	s26	r36	r36	r36	s21	s22	s23	r36	s24	r36	r36	r36	r36	r36	r36	s27	r36	s28	s29	s30	s31	s32	s33	s34	
69	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r2	r2	r2	s41	s42	s43	s44	s45	s46	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	r2	
70	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r3	r3	r3	s41	s42	s43	s44	s45	s46	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	r3	
71	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r5	r5	r5	r5	r5	r5	r5	r5	r5	s47	s48	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	r5	
72	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r6	r6	r6	r6	r6	r6	r6	r6	r6	s47	s48	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	
73	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r7	r7	r7	r7	r7	r7	r7	r7	r7	s47	s48	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	r7	
74	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r8	r8	r8	r8	r8	r8	r8	r8	r8	s47	s48	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	r8	
75	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r9	r9	r9	r9	r9	r9	r9	r9	r9	s47	s48	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	r9	
76	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r10	r10	r10	r10	r10	r10	r10	r10	r10	s47	s48	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	
77	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	s49	s50	s51	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	
78	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	s49	s50	s51	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	
79	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	
80	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	
81	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	
82	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	
83	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s95	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
84	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	s96	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	r32	
85	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r27	s39	s40	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	r27	
86	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	r23	
87	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s97	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
88	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s98	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
89	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s99	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s100	.	.	.	.	.	.	.	.	.	
91	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	r47	
92	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	r50	
93	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	r39	
94	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	r37	
95	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	
96	.	s84	s16	s17	s18	s19	s20	.	.	s101	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
97	.	s15	s16	s17	s18	s19	s20	.	.	.	.	.	s102	s14	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	s35	.	.	s27	.	s28	s29	s30	s31	s32	s33	s34	
98	.	s15	s16	s17	s18	s19	s20	.	.	.	.	.	s103	s14	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	s35	.	.	s27	.	s28	s29	s30	s31	s32	s33	s34	
99	.	s104	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
100	.	s105	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
101	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	r33	
102	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	r41	s106	r41	r41	r41	r41	r41	r41	r41	
103	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	r43	
104	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s107	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
105	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s108	.	.	.	.	.	.	.	.	.	
106	.	s15	s16	s17	s18	s19	s20	.	.	.	.	.	s109	s14	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	s35	.	.	s27	.	s28	s29	s30	s31	s32	s33	s34	
107	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s110	.	.	.	.	.	.	.	.	.	
108	.	s111	s16	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
109	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	r42	
